,poems,segments
0,"The rivers are dry, the oceans rise,
A choking earth beneath the skies.
The fish no longer swim in streams,
And water is the rarest dream.

We built our cities on borrowed ground,
Where drought and flood have both been found.
Yet still, we fight for what’s been lost,
Not seeing that we pay the cost.","['The rivers are dry, the oceans rise,\nA choking earth beneath the skies.\nThe fish no longer swim in streams,\nAnd water is the rarest dream.', 'We built our cities on borrowed ground,\nWhere drought and flood have both been found.\nYet still, we fight for what’s been lost,\nNot seeing that we pay the cost.']"
1,"
There’s a man who hides behind his walls,
Chasing shadows that echo his calls.
The weight of silence fills his space,
A world outside, he cannot face.

The sun still rises every day,
But darkness never seems to fade away.
The struggle for light—so real, so true—
A battle fought by more than a few.","['\nThere’s a man who hides behind his walls,\nChasing shadows that echo his calls.\nThe weight of silence fills his space,\nA world outside, he cannot face.', 'The sun still rises every day,\nBut darkness never seems to fade away.\nThe struggle for light—so real, so true—\nA battle fought by more than a few.']"
2,"
We walk the same streets, breathe the same air,
But some of us breathe in despair.
Where the color of skin or the place you’re born,
Defines the chances for which you're sworn.

A world built on ancient lies,
Where the rich grow fat and the poor subsides.
The echo rings, and none can deny,
That some will fall and others fly.","[""\nWe walk the same streets, breathe the same air,\nBut some of us breathe in despair.\nWhere the color of skin or the place you’re born,\nDefines the chances for which you're sworn."", 'A world built on ancient lies,\nWhere the rich grow fat and the poor subsides.\nThe echo rings, and none can deny,\nThat some will fall and others fly.']"
3,"
A child stares at an empty plate,
Dreaming of food while they wait.
The hunger gnaws and steals their pride,
A pang so deep it cannot hide.

In a world with plenty to share,
Why is there always someone who cares?
As we waste and waste, the truth remains—
The empty plate is their only gain.","['\nA child stares at an empty plate,\nDreaming of food while they wait.\nThe hunger gnaws and steals their pride,\nA pang so deep it cannot hide.', 'In a world with plenty to share,\nWhy is there always someone who cares?\nAs we waste and waste, the truth remains—\nThe empty plate is their only gain.']"
4,"
They whisper in the corners, unseen, unheard,
The homeless, the broken, the lost in the dirt.
Forgotten by the world that walks by so fast,
Caught in a system that was never meant to last.

But they still have stories, they still have names,
Lives left behind in society's games.
If you listen close, you'll hear their plea—
Don’t forget them, don’t let them be.","['\nThey whisper in the corners, unseen, unheard,\nThe homeless, the broken, the lost in the dirt.\nForgotten by the world that walks by so fast,\nCaught in a system that was never meant to last.', ""But they still have stories, they still have names,\nLives left behind in society's games.\nIf you listen close, you'll hear their plea—\nDon’t forget them, don’t let them be.""]"
5,"
A look, a word, a silent thought,
The prejudice that we’ve all been taught.
We wear the veil, and never see,
The hurt we cause, the pain we free.

For in the eyes of those we fear,
Lies something beautiful, something dear.
But as long as we choose not to know,
Prejudice will continue to grow.","['\nA look, a word, a silent thought,\nThe prejudice that we’ve all been taught.\nWe wear the veil, and never see,\nThe hurt we cause, the pain we free.', 'For in the eyes of those we fear,\nLies something beautiful, something dear.\nBut as long as we choose not to know,\nPrejudice will continue to grow.']"
6,"
We live in luxury, we live in ease,
But someone pays for our desires and pleas.
From sweat-stained hands to polluted skies,
The cost of comfort is what we deny.

We close our eyes, we shut the door,
Ignoring the toll that comes to the poor.
But every purchase, every indulgent thought,
Has a price that can never be bought.","['\nWe live in luxury, we live in ease,\nBut someone pays for our desires and pleas.\nFrom sweat-stained hands to polluted skies,\nThe cost of comfort is what we deny.', 'We close our eyes, we shut the door,\nIgnoring the toll that comes to the poor.\nBut every purchase, every indulgent thought,\nHas a price that can never be bought.']"
7,"
It’s a battle no one sees,
Fought within the mind, with silent pleas.
A scream that stays locked in a chest,
A weight too heavy, a heart oppressed.

The world moves on, unaware,
Of the chains that bind, the silent despair.
It’s not always visible, this fight we wage—
Mental health is not a cage.","['\nIt’s a battle no one sees,\nFought within the mind, with silent pleas.\nA scream that stays locked in a chest,\nA weight too heavy, a heart oppressed.', 'The world moves on, unaware,\nOf the chains that bind, the silent despair.\nIt’s not always visible, this fight we wage—\nMental health is not a cage.']"
8,"
The waves crash in, but not as they should,
With plastic and waste washing up to the wood.
We traded life for convenience,
But now the ocean screams its grievance.

Turtles are tangled, birds are bound,
Our garbage floats where beauty was found.
The ocean pleads with every tide—
Clean up the mess we’ve left behind.","['\nThe waves crash in, but not as they should,\nWith plastic and waste washing up to the wood.\nWe traded life for convenience,\nBut now the ocean screams its grievance.', 'Turtles are tangled, birds are bound,\nOur garbage floats where beauty was found.\nThe ocean pleads with every tide—\nClean up the mess we’ve left behind.']"
9,"
A soldier stands with weary eyes,
A world of blood, a sea of lies.
Fighting battles not of their choice,
Echoing a call without a voice.

The land is scarred, the people mourn,
Lives shattered by the war they’re born.
The price is paid in endless cries,
By those who’ll never see the skies.","['\nA soldier stands with weary eyes,\nA world of blood, a sea of lies.\nFighting battles not of their choice,\nEchoing a call without a voice.', 'The land is scarred, the people mourn,\nLives shattered by the war they’re born.\nThe price is paid in endless cries,\nBy those who’ll never see the skies.']"
10,"
The world beyond is full of light,
But we’ve buried our faces in screens at night.
We scroll and scroll, but never find,
A way to ease the heart or mind.

The world is shrinking, yet we’re alone,
Disconnected in a digital zone.
We talk but never truly speak,
Lost in the noise, too tired to seek.","['\nThe world beyond is full of light,\nBut we’ve buried our faces in screens at night.\nWe scroll and scroll, but never find,\nA way to ease the heart or mind.', 'The world is shrinking, yet we’re alone,\nDisconnected in a digital zone.\nWe talk but never truly speak,\nLost in the noise, too tired to seek.']"
11,"
The trees once stood, tall and proud,
Now their leaves are lost in a dying cloud.
The earth is warming, the air is thin,
And nature fights a losing win.

We cut and burn, destroy and drain,
Until there’s nothing left to sustain.
But if we don’t change, if we don’t see,
The world will wither, and so will we.","['\nThe trees once stood, tall and proud,\nNow their leaves are lost in a dying cloud.\nThe earth is warming, the air is thin,\nAnd nature fights a losing win.', 'We cut and burn, destroy and drain,\nUntil there’s nothing left to sustain.\nBut if we don’t change, if we don’t see,\nThe world will wither, and so will we.']"
